,baseline,mixqtl,eqtl,type,gene_list
enhancer,80873,267,259,top_qtl,all
promoter,88814,827,904,top_qtl,all
open_chromatin_region,241549,622,611,top_qtl,all
promoter_flanking_region,232850,1028,1047,top_qtl,all
TF_binding_site,44558,230,238,top_qtl,all
total,9794854,21581,21581,top_qtl,all
enhancer,75523,70,66,top_qtl,strong
promoter,84037,294,258,top_qtl,strong
open_chromatin_region,210487,157,144,top_qtl,strong
promoter_flanking_region,219656,308,275,top_qtl,strong
TF_binding_site,41339,74,67,top_qtl,strong
total,7845296,5247,5247,top_qtl,strong
enhancer,75523,55,54,top_pip,strong
promoter,84037,209,207,top_pip,strong
open_chromatin_region,210487,104,102,top_pip,strong
promoter_flanking_region,219656,211,200,top_pip,strong
TF_binding_site,41339,69,39,top_pip,strong
total,7845296,3784,3711,top_pip,strong
enhancer,75523,39,46,top_pip,strong (in both)
promoter,84037,174,176,top_pip,strong (in both)
open_chromatin_region,210487,75,78,top_pip,strong (in both)
promoter_flanking_region,219656,158,162,top_pip,strong (in both)
TF_binding_site,41339,56,36,top_pip,strong (in both)
total,7845296,2873,2873,top_pip,strong (in both)
enhancer,75523,426,158,95%_cs,strong
promoter,84037,1635,820,95%_cs,strong
open_chromatin_region,210487,1035,374,95%_cs,strong
promoter_flanking_region,219656,1533,559,95%_cs,strong
TF_binding_site,41339,415,187,95%_cs,strong
total,7845296,39574,15856,95%_cs,strong
enhancer,75523,122,144,95%_cs,strong (in both)
promoter,84037,718,709,95%_cs,strong (in both)
open_chromatin_region,210487,377,337,95%_cs,strong (in both)
promoter_flanking_region,219656,523,496,95%_cs,strong (in both)
TF_binding_site,41339,147,163,95%_cs,strong (in both)
total,7845296,14555,13713,95%_cs,strong (in both)
enhancer,75523,76,102,95%_cs (shared),strong (in both)
promoter,84037,483,544,95%_cs (shared),strong (in both)
open_chromatin_region,210487,209,259,95%_cs (shared),strong (in both)
promoter_flanking_region,219656,283,365,95%_cs (shared),strong (in both)
TF_binding_site,41339,86,124,95%_cs (shared),strong (in both)
total,7845296,8002,10094,95%_cs (shared),strong (in both)
enhancer,75523,350,56,95%_cs (not shared),strong
promoter,84037,1152,276,95%_cs (not shared),strong
open_chromatin_region,210487,826,115,95%_cs (not shared),strong
promoter_flanking_region,219656,1250,194,95%_cs (not shared),strong
TF_binding_site,41339,329,63,95%_cs (not shared),strong
total,7845296,31572,5762,95%_cs (not shared),strong
enhancer,75523,6,7,95%_cs (shared) top snp,strong (in both)
promoter,84037,81,82,95%_cs (shared) top snp,strong (in both)
open_chromatin_region,210487,12,14,95%_cs (shared) top snp,strong (in both)
promoter_flanking_region,219656,26,27,95%_cs (shared) top snp,strong (in both)
TF_binding_site,41339,17,16,95%_cs (shared) top snp,strong (in both)
total,7845296,612,611,95%_cs (shared) top snp,strong (in both)
enhancer,75523,35,5,95%_cs (not shared) top snp,strong
promoter,84037,125,45,95%_cs (not shared) top snp,strong
open_chromatin_region,210487,80,6,95%_cs (not shared) top snp,strong
promoter_flanking_region,219656,143,14,95%_cs (not shared) top snp,strong
TF_binding_site,41339,48,6,95%_cs (not shared) top snp,strong
total,7845296,2611,363,95%_cs (not shared) top snp,strong
